clientName,priority,title,description,ownerType,ownerName,assigneeName,status,dueDate,estimatedHours,isMilestone,clientVisible
LBL Law,P0,Obtain LBL written go-ahead for Digital Logic transition,"Partners sign off on the condensed 3-week website & advertising transition plan (DNS cutover by ~day 15, full site backup, rebuild on LBL-owned hosting, then notice to DigitalLogic — 90-day termination window). Plan doc will be attached for review before signing.",client,Karyn Alten,Sebastien Hue,blocked,2026-08-25,0.5,true,true
LBL Law,P1,Partner feedback on 5 thought-leadership items,"Revised thought-leadership plan per Rob's feedback: fewer activities, ~2 hrs/person/month, re-ranked so lower-effort items are higher priority, Cincinnati Children's items removed. Partners give conflict rulings / feedback on the 5 remaining items.",client,Karyn Alten,Katy Martinez,not_started,2026-09-01,0.5,true,true
LBL Law,P0,Get LBL direction on Super Lawyers ad concept and size,"Two Super Lawyers concepts sent. Partners pick direction and confirm size (half vs full page). Karyn to grab a partner (PJ back from Ireland) for sign-off.",client,Karyn Alten,Katy Martinez,blocked,2026-08-22,0.5,true,true
LBL Law,P1,Approve bi-monthly video shoot schedule,"BS LLC proposes an every-2-months half-day shoot (YouTube vlogs + social clips); Cody leads. Partners approve the schedule and who attends each shoot (Rob wants more team members featured).",client,Karyn Alten,Sebastien Hue,not_started,2026-09-01,0.5,true,true
LBL Law,P2,Sign off on Jenn personalized thank-you card,"Design a Jenn-branded thank-you card (her name on the front) for partner review; on sign-off BS LLC prints them.",client,Jenn,Katy Martinez,not_started,2026-09-08,0.5,true,true
LBL Law,P0,Confirm DigitalLogic invoices are current,"Carrie confirms LBL is current on all DigitalLogic invoices — required before transition (per contract, unpaid balances must be back-paid in advance of any transition). Send status to Sebastien.",client,Carrie,Sebastien Hue,not_started,2026-08-22,0.5,false,true
LBL Law,P2,Send photos/videos for waiting-room slideshow,"LBL sends attorney photos/videos (incl. fun/historical shots) so BS LLC can build a waiting-room TV slideshow (LBL / Blink / Cincinnati / Covington).",client,Karyn Alten,Katy Martinez,not_started,2026-09-15,0.5,false,true
LBL Law,P0,Finalize transition plan doc and attach to dashboard e-sign,"Update the condensed 3-week website & advertising transition plan into one scoped sheet and attach it to the 'written go-ahead' e-sign line so partners review the full detail before signing (currently the sign-off is not yet linked to the plan).",agency,Sebastien Hue,Sebastien Hue,in_progress,2026-08-21,1,false,false
LBL Law,P0,Request Google Ads admin access from DigitalLogic (acct 112-151-0454),"Confirmed DigitalLogic controls LBL's Google Ads (Karyn has standard access, invited by DigitalLogic; ads are running inaccurate targeting). Request Admin access to account 112-151-0454 and fold ownership handoff into the transition plan.",agency,Sebastien Hue,Sebastien Hue,not_started,2026-08-25,1,false,false
LBL Law,P2,Draft Oct 8 open house creative concepts,"Signage, 'Blink' buttons, and a card-stock venue map to the Blink activities (Up There / Upstairs on 7). Keep it playful and on-budget, executable in time. Pitch concepts to LBL.",agency,Sebastien Hue,Katy Martinez,not_started,2026-09-08,3,false,false
LBL Law,P2,Compile open house invite list from Oct 2025 rebrand blast,"Pull names from the October 2025 rebrand email blast and compile an invite spreadsheet for the Oct 8 open house; send to Karyn.",agency,Sebastien Hue,Katy Martinez,not_started,2026-09-05,1.5,false,false
LBL Law,P3,Produce waiting-room TV slideshow,"Assemble an on-brand looping slideshow (LBL / Blink / Cincinnati / Covington + attorney photos) for the waiting-room TV once LBL sends assets.",agency,Sebastien Hue,Katy Martinez,not_started,2026-09-20,2,false,false
LBL Law,P2,Competitor marketing analysis: ABC Law Center & Grant Eisenhoffer,"Analyze how ABC Law Center and Grant Eisenhoffer (GE Law Firm) — based in NY/Chicago — market birth-injury cases in OH/KY and win referrals; deliver a repositioning report to Karyn (goal: LBL is the first choice for 'birth injury attorney').",agency,Sebastien Hue,Sebastien Hue,not_started,2026-09-12,4,false,false
