Untitled report
"July 4, 2025 - August 2, 2026"
Week,Currency code,Cost,Impr.,Clicks,Conversions,Avg. CPC,CTR,Cost / conv.
2025-06-30,USD,0.00,0,0,0.00,0,0,0
2025-07-07,USD,0.00,0,0,0.00,0,0,0
2025-07-14,USD,0.00,0,0,0.00,0,0,0
2025-07-21,USD,0.00,0,0,0.00,0,0,0
2025-07-28,USD,0.00,0,0,0.00,0,0,0
2025-08-04,USD,0.00,0,0,0.00,0,0,0
2025-08-11,USD,0.00,0,0,0.00,0,0,0
2025-08-18,USD,0.00,0,0,0.00,0,0,0
2025-08-25,USD,0.00,0,0,0.00,0,0,0
2025-09-01,USD,0.00,0,0,0.00,0,0,0
2025-09-08,USD,0.00,0,0,0.00,0,0,0
2025-09-15,USD,0.00,0,0,0.00,0,0,0
2025-09-22,USD,0.00,0,0,0.00,0,0,0
2025-09-29,USD,0.00,0,0,0.00,0,0,0
2025-10-06,USD,0.00,0,0,0.00,0,0,0
2025-10-13,USD,0.00,0,0,0.00,0,0,0
2025-10-20,USD,0.00,0,0,0.00,0,0,0
2025-10-27,USD,0.00,0,0,0.00,0,0,0
2025-11-03,USD,0.00,0,0,0.00,0,0,0
2025-11-10,USD,384.46,"2,211",90,4.00,4.27,4.07%,96.11
2025-11-17,USD,184.69,"1,029",42,3.00,4.40,4.08%,61.56
2025-11-24,USD,597.74,"2,845",154,1.00,3.88,5.41%,597.74
2025-12-01,USD,459.15,"1,559",95,2.00,4.83,6.09%,229.58
2025-12-08,USD,521.64,"1,649",104,2.05,5.02,6.31%,254.34
2025-12-15,USD,451.74,"1,518",91,1.00,4.96,5.99%,451.74
2025-12-22,USD,418.19,"1,321",90,4.00,4.65,6.81%,104.55
2025-12-29,USD,426.29,"1,396",90,6.00,4.74,6.45%,71.05
2026-01-05,USD,467.81,"1,502",97,3.00,4.82,6.46%,155.94
2026-01-12,USD,444.56,"1,705",88,4.00,5.05,5.16%,111.14
2026-01-19,USD,458.44,"1,382",96,6.00,4.78,6.95%,76.41
2026-01-26,USD,419.16,"1,423",88,3.00,4.76,6.18%,139.72
2026-02-02,USD,513.07,"1,535",106,4.00,4.84,6.91%,128.27
2026-02-09,USD,536.48,"1,876",118,0.00,4.55,6.29%,0
2026-02-16,USD,474.11,"1,307",98,3.00,4.84,7.50%,158.04
2026-02-23,USD,444.86,"1,433",93,2.00,4.78,6.49%,222.43
2026-03-02,USD,460.47,"1,575",93,3.00,4.95,5.90%,153.49
2026-03-09,USD,596.52,"2,989",151,8.00,3.95,5.05%,74.56
2026-03-16,USD,525.37,"2,489",131,6.00,4.01,5.26%,87.56
2026-03-23,USD,771.24,"3,361",166,21.00,4.65,4.94%,36.73
2026-03-30,USD,725.01,"3,073",161,11.50,4.50,5.24%,63.05
2026-04-06,USD,696.29,"3,107",146,12.00,4.77,4.70%,58.02
2026-04-13,USD,706.31,"3,349",187,15.75,3.78,5.58%,44.85
2026-04-20,USD,704.57,"3,338",166,9.00,4.24,4.97%,78.29
2026-04-27,USD,730.86,"3,427",178,12.00,4.11,5.19%,60.91
2026-05-04,USD,718.79,"3,279",148,6.00,4.86,4.51%,119.80
2026-05-11,USD,646.84,"2,510",129,21.25,5.01,5.14%,30.44
2026-05-18,USD,701.39,"2,017",112,9.50,6.26,5.55%,73.80
2026-05-25,USD,636.48,"2,370",125,13.00,5.09,5.27%,48.96
2026-06-01,USD,714.36,"2,421",126,8.01,5.67,5.20%,89.24
2026-06-08,USD,739.51,"2,587",134,11.00,5.52,5.18%,67.23
2026-06-15,USD,717.16,"2,798",130,20.99,5.52,4.65%,34.16
2026-06-22,USD,668.98,"2,565",134,15.00,4.99,5.22%,44.60
2026-06-29,USD,743.36,"2,275",142,16.00,5.23,6.24%,46.46
2026-07-06,USD,977.91,"3,883",188,16.00,5.20,4.84%,61.11
2026-07-13,USD,1309.40,"3,785",231,26.00,5.67,6.10%,50.36
2026-07-20,USD,1277.88,"4,597",312,23.00,4.10,6.79%,55.56
2026-07-27,USD,1246.99,"3,988",274,21.00,4.55,6.87%,59.38
