Date,Clicks,Impressions,CTR,Position
2025-08-05,13,291,4.47%,32.6
2025-08-06,14,292,4.79%,29.9
2025-08-07,10,324,3.09%,27.9
2025-08-08,9,287,3.14%,32.4
2025-08-09,3,294,1.02%,35.2
2025-08-10,6,246,2.44%,35.2
2025-08-11,13,314,4.14%,28.1
2025-08-12,11,282,3.9%,25.9
2025-08-13,11,288,3.82%,31.8
2025-08-14,12,284,4.23%,28.8
2025-08-15,8,259,3.09%,30.9
2025-08-16,0,253,0%,35.8
2025-08-17,1,203,0.49%,36
2025-08-18,8,256,3.12%,35
2025-08-19,10,297,3.37%,30.4
2025-08-20,9,347,2.59%,34.5
2025-08-21,9,330,2.73%,29.6
2025-08-22,11,299,3.68%,28.2
2025-08-23,1,304,0.33%,33.8
2025-08-24,1,261,0.38%,34.8
2025-08-25,6,296,2.03%,29.5
2025-08-26,2,340,0.59%,31.3
2025-08-27,11,435,2.53%,34.7
2025-08-28,9,369,2.44%,34.9
2025-08-29,8,358,2.23%,30.3
2025-08-30,3,345,0.87%,36.5
2025-08-31,3,304,0.99%,34.1
2025-09-01,4,314,1.27%,38
2025-09-02,3,361,0.83%,33.6
2025-09-03,8,390,2.05%,30.5
2025-09-04,5,314,1.59%,32.2
2025-09-05,6,361,1.66%,27.6
2025-09-06,6,312,1.92%,32.9
2025-09-07,5,286,1.75%,34.9
2025-09-08,12,340,3.53%,28.2
2025-09-09,8,329,2.43%,26
2025-09-10,10,285,3.51%,32.8
2025-09-11,9,263,3.42%,24.8
2025-09-12,6,212,2.83%,20.4
2025-09-13,5,154,3.25%,21.4
2025-09-14,4,133,3.01%,14.3
2025-09-15,6,180,3.33%,14
2025-09-16,11,165,6.67%,11.9
2025-09-17,8,190,4.21%,17.3
2025-09-18,10,186,5.38%,12.2
2025-09-19,13,191,6.81%,12.7
2025-09-20,4,161,2.48%,18.8
2025-09-21,2,123,1.63%,18
2025-09-22,5,159,3.14%,11.7
2025-09-23,7,148,4.73%,11.2
2025-09-24,12,150,8%,12.8
2025-09-25,6,125,4.8%,10.6
2025-09-26,9,187,4.81%,14
2025-09-27,2,197,1.02%,18.5
2025-09-28,1,126,0.79%,13.5
2025-09-29,8,172,4.65%,13.1
2025-09-30,8,203,3.94%,15.6
2025-10-01,6,215,2.79%,13.4
2025-10-02,7,164,4.27%,15.2
2025-10-03,7,152,4.61%,11.6
2025-10-04,3,140,2.14%,24
2025-10-05,4,115,3.48%,14.6
2025-10-06,11,191,5.76%,14
2025-10-07,13,209,6.22%,13.3
2025-10-08,10,176,5.68%,14
2025-10-09,13,255,5.1%,15.7
2025-10-10,15,274,5.47%,10.5
2025-10-11,3,164,1.83%,20.8
2025-10-12,5,144,3.47%,14.5
2025-10-13,10,175,5.71%,14.5
2025-10-14,3,208,1.44%,13.9
2025-10-15,18,224,8.04%,13.4
2025-10-16,10,166,6.02%,16.4
2025-10-17,12,166,7.23%,14.2
2025-10-18,16,167,9.58%,24.7
2025-10-19,11,125,8.8%,12.6
2025-10-20,15,190,7.89%,15.1
2025-10-21,16,180,8.89%,12.2
2025-10-22,9,191,4.71%,14.9
2025-10-23,8,213,3.76%,11.6
2025-10-24,8,216,3.7%,11.1
2025-10-25,2,154,1.3%,19.5
2025-10-26,7,136,5.15%,14.6
2025-10-27,9,188,4.79%,9.7
2025-10-28,13,200,6.5%,10.5
2025-10-29,9,240,3.75%,10.9
2025-10-30,5,203,2.46%,12.7
2025-10-31,10,200,5%,11.2
2025-11-01,4,186,2.15%,24
2025-11-02,6,148,4.05%,12.1
2025-11-03,13,208,6.25%,10.1
2025-11-04,7,206,3.4%,10.4
2025-11-05,6,265,2.26%,14.1
2025-11-06,7,247,2.83%,8.9
2025-11-07,11,226,4.87%,8.5
2025-11-08,2,192,1.04%,16.2
2025-11-09,10,211,4.74%,10.1
2025-11-10,14,289,4.84%,10.1
2025-11-11,9,230,3.91%,10.2
2025-11-12,6,278,2.16%,13.4
2025-11-13,7,284,2.46%,11.5
2025-11-14,12,337,3.56%,11.3
2025-11-15,4,252,1.59%,15.2
2025-11-16,4,236,1.69%,10.9
2025-11-17,14,296,4.73%,11.3
2025-11-18,9,293,3.07%,10.2
2025-11-19,29,381,7.61%,11.2
2025-11-20,8,303,2.64%,13.6
2025-11-21,11,313,3.51%,10.8
2025-11-22,1,268,0.37%,22.2
2025-11-23,6,242,2.48%,15.1
2025-11-24,9,344,2.62%,14.8
2025-11-25,8,356,2.25%,12.9
2025-11-26,9,343,2.62%,17.7
2025-11-27,3,309,0.97%,13.6
2025-11-28,3,290,1.03%,14.6
2025-11-29,3,275,1.09%,15.5
2025-11-30,3,246,1.22%,14.1
2025-12-01,9,408,2.21%,19
2025-12-02,16,341,4.69%,13.1
2025-12-03,28,236,11.86%,17
2025-12-04,12,188,6.38%,17.3
2025-12-05,11,279,3.94%,15.6
2025-12-06,3,249,1.2%,12.6
2025-12-07,5,272,1.84%,10.1
2025-12-08,16,324,4.94%,13.4
2025-12-09,5,294,1.7%,16.5
2025-12-10,20,357,5.6%,13.3
2025-12-11,11,341,3.23%,11
2025-12-12,5,312,1.6%,12.1
2025-12-13,3,337,0.89%,12.6
2025-12-14,8,296,2.7%,13
2025-12-15,9,370,2.43%,12.5
2025-12-16,10,394,2.54%,14
2025-12-17,13,410,3.17%,13.6
2025-12-18,9,332,2.71%,10.6
2025-12-19,6,291,2.06%,11
2025-12-20,4,357,1.12%,13.6
2025-12-21,1,296,0.34%,14.1
2025-12-22,10,399,2.51%,13.4
2025-12-23,7,362,1.93%,17.2
2025-12-24,4,336,1.19%,17.9
2025-12-25,2,240,0.83%,11.7
2025-12-26,5,298,1.68%,10.9
2025-12-27,7,257,2.72%,12.8
2025-12-28,2,318,0.63%,12.9
2025-12-29,13,431,3.02%,11.3
2025-12-30,9,368,2.45%,11.9
2025-12-31,2,388,0.52%,16.1
2026-01-01,1,308,0.32%,16.4
2026-01-02,7,375,1.87%,12.6
2026-01-03,5,284,1.76%,12.3
2026-01-04,8,436,1.83%,12
2026-01-05,6,598,1%,13.9
2026-01-06,4,413,0.97%,10.4
2026-01-07,11,428,2.57%,13.5
2026-01-08,7,432,1.62%,17.2
2026-01-09,3,405,0.74%,14.1
2026-01-10,5,391,1.28%,14.8
2026-01-11,4,373,1.07%,21.3
2026-01-12,7,507,1.38%,11.5
2026-01-13,10,432,2.31%,14.2
2026-01-14,12,442,2.71%,14.9
2026-01-15,16,421,3.8%,10.3
2026-01-16,7,412,1.7%,16.1
2026-01-17,3,326,0.92%,14.8
2026-01-18,4,303,1.32%,15.6
2026-01-19,9,474,1.9%,13.2
2026-01-20,8,420,1.9%,11.2
2026-01-21,7,479,1.46%,15.8
2026-01-22,16,392,4.08%,12
2026-01-23,13,310,4.19%,11.3
2026-01-24,4,317,1.26%,11.1
2026-01-25,6,333,1.8%,12.9
2026-01-26,9,430,2.09%,13.5
2026-01-27,11,381,2.89%,11.2
2026-01-28,10,416,2.4%,16.4
2026-01-29,9,362,2.49%,9.8
2026-01-30,12,369,3.25%,10.9
2026-01-31,8,313,2.56%,15.5
2026-02-01,4,364,1.1%,16.1
2026-02-02,13,439,2.96%,13.1
2026-02-03,13,378,3.44%,9.4
2026-02-04,11,458,2.4%,13.4
2026-02-05,6,344,1.74%,11.2
2026-02-06,12,344,3.49%,12.6
2026-02-07,7,278,2.52%,11.5
2026-02-08,4,293,1.37%,13.2
2026-02-09,8,379,2.11%,16.3
2026-02-10,15,372,4.03%,13.1
2026-02-11,14,379,3.69%,15.3
2026-02-12,12,373,3.22%,10.6
2026-02-13,8,316,2.53%,10.9
2026-02-14,6,280,2.14%,12.4
2026-02-15,4,345,1.16%,13.2
2026-02-16,10,462,2.16%,10.2
2026-02-17,17,472,3.6%,13.7
2026-02-18,15,416,3.61%,12.5
2026-02-19,11,368,2.99%,13.4
2026-02-20,11,279,3.94%,12.8
2026-02-21,7,319,2.19%,11.9
2026-02-22,7,302,2.32%,13.1
2026-02-23,18,371,4.85%,15
2026-02-24,15,402,3.73%,14.6
2026-02-25,12,505,2.38%,14.3
2026-02-26,17,502,3.39%,9.8
2026-02-27,10,524,1.91%,10.9
2026-02-28,1,471,0.21%,11.1
2026-03-01,1,514,0.19%,12.1
2026-03-02,13,624,2.08%,11.1
2026-03-03,11,608,1.81%,11.4
2026-03-04,16,553,2.89%,12.3
2026-03-05,9,536,1.68%,8.5
2026-03-06,8,197,4.06%,13.2
2026-03-07,1,271,0.37%,8.7
2026-03-08,3,181,1.66%,14.7
2026-03-09,10,231,4.33%,9.5
2026-03-10,5,274,1.82%,8.8
2026-03-11,9,267,3.37%,8.8
2026-03-12,4,493,0.81%,6.1
2026-03-13,7,331,2.11%,6
2026-03-14,3,191,1.57%,8.7
2026-03-15,2,318,0.63%,6.6
2026-03-16,7,213,3.29%,8.8
2026-03-17,16,296,5.41%,8.7
2026-03-18,7,294,2.38%,8.5
2026-03-19,11,415,2.65%,8.5
2026-03-20,3,316,0.95%,9.7
2026-03-21,6,373,1.61%,7.2
2026-03-22,2,315,0.63%,12.9
2026-03-23,9,321,2.8%,10
2026-03-24,17,544,3.12%,7.6
2026-03-25,13,506,2.57%,10.3
2026-03-26,15,431,3.48%,9.8
2026-03-27,8,449,1.78%,9.1
2026-03-28,4,426,0.94%,11
2026-03-29,3,329,0.91%,12.3
2026-03-30,11,338,3.25%,12.5
2026-03-31,13,425,3.06%,9.9
2026-04-01,8,421,1.9%,11.2
2026-04-02,18,389,4.63%,7.7
2026-04-03,7,379,1.85%,11.7
2026-04-04,0,296,0%,10.8
2026-04-05,7,278,2.52%,12.9
2026-04-06,11,389,2.83%,10.3
2026-04-07,10,349,2.87%,10.2
2026-04-08,10,394,2.54%,7.2
2026-04-09,18,312,5.77%,12.6
2026-04-10,16,282,5.67%,11.9
2026-04-11,8,366,2.19%,10.6
2026-04-12,4,254,1.57%,13.5
2026-04-13,9,332,2.71%,11.3
2026-04-14,9,300,3%,12.6
2026-04-15,14,338,4.14%,14
2026-04-16,8,299,2.68%,11
2026-04-17,9,329,2.74%,10.6
2026-04-18,6,301,1.99%,15.1
2026-04-19,2,263,0.76%,15.2
2026-04-20,9,327,2.75%,11.5
2026-04-21,4,307,1.3%,12.4
2026-04-22,8,311,2.57%,10.4
2026-04-23,6,377,1.59%,8.9
2026-04-24,7,254,2.76%,10.4
2026-04-25,7,198,3.54%,11.4
2026-04-26,4,220,1.82%,15
2026-04-27,7,326,2.15%,13.5
2026-04-28,7,598,1.17%,9.2
2026-04-29,11,451,2.44%,12
