clientName,priority,title,description,ownerType,ownerName,assigneeName,status,dueDate,estimatedHours
LBL Law,P0,Get LBL direction on Super Lawyers ad concept and size,Partners must pick Complex Case Partner vs Six Attorneys One Firm and confirm half vs full page.,client,Karyn Alten,Katy Martinez,blocked,2026-08-31,0.5
LBL Law,P0,Obtain fully executed LBL contract copy for file,Rob signed but no countersigned copy has been received; chase Karyn or Jenn and file it.,agency,Sebastien Hue,Sebastien Hue,in_progress,2026-08-31,0.5
LBL Law,P0,Lock Super Lawyers ad placement with Francis Bungue,Placement deadline is Aug 15 and the magazine is mapped first-come first-served.,agency,Katy Martinez,Katy Martinez,in_progress,2026-08-31,1.0
LBL Law,P0,Confirm official BS LLC digital execution takeover date,Lock the mutually agreed date BS LLC formally assumes digital execution from Digital Logic.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-08-31,1.0
LBL Law,P0,Draft Digital Logic termination notice for LBL signature,Prepare the 30-day termination notice so LBL can issue it once backups and access are secured.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-08-31,1.5
LBL Law,P0,Obtain LBL written go-ahead for Digital Logic transition,Nothing moves until LBL gives written approval to start the transition.,client,Rob Lewis,Sebastien Hue,blocked,2026-08-31,0.5
LBL Law,P0,Confirm Google Ads sits under LBL credentials not agency account,Open item from the Digital Logic MSA review that determines whether the ad account transfers or must be rebuilt.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-08-31,1.0
LBL Law,P0,Produce final Super Lawyers ad to publisher spec,Build the approved concept to the Super Lawyers production spec once a production manager is assigned.,agency,Cody Gunningham,Cody Gunningham,not_started,2026-08-31,3.0
LBL Law,P0,"Capture full offsite backup of site, blogs, and content",Secure a complete offline backup before any termination notice goes out so no content is lost.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-08-31,3.0
LBL Law,P0,Secure admin access to all ad and analytics platforms,"Take ownership of Google Analytics, Google Ads, Search Console, and any other platforms held by Digital Logic.",agency,Sebastien Hue,Sebastien Hue,blocked,2026-08-31,3.0
LBL Law,P0,Lock half-day video shoot date with PJ,"Schedule date, location, and production logistics for the first three clinical authority videos.",agency,Cody Gunningham,Cody Gunningham,not_started,2026-08-31,1.0
LBL Law,P0,Purge all Cincinnati Children's linked items from every deliverable,"LBL litigates against CCHMC; remove the two CCHMC podcasts, the FY27 sponsorship, four panelist seats, the CCHMC benefits contact, and the CCHMC number in the leave-behind.",agency,Sebastien Hue,Sebastien Hue,not_started,2026-08-31,1.0
LBL Law,P0,Take over Google Ads account and audit structure,"Obtain admin access, audit campaign structure, and complete handoff from the prior agency.",agency,Sebastien Hue,Sebastien Hue,not_started,2026-08-31,3.0
LBL Law,P0,Pause generic PI and malpractice keyword campaigns,"Broad malpractice keywords are burning roughly $3,668/mo with zero verifiable signed cases.",agency,Sebastien Hue,Sebastien Hue,not_started,2026-08-31,0.5
LBL Law,P0,Build adverse-party do-not-contact screen,"Maintained list of hospital systems and affiliates LBL litigates against, screened before any target enters the pipeline.",agency,Sebastien Hue,Sebastien Hue,not_started,2026-08-31,1.0
LBL Law,P0,Cut master activity list from ~71 items to ~35,Partners said the current list is roughly double what a small firm can carry.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-08-31,2.0
LBL Law,P0,Split trial lawyer organizations into LBL-owned line item,"OAJ, KJA, SWOTLA, KBA, ITLA, and OSBA move to their own tracked workstream owned entirely by LBL.",agency,Sebastien Hue,Sebastien Hue,not_started,2026-08-31,1.0
LBL Law,P0,Add no-direct-contact guardrail for trial lawyer orgs to scope,BS LLC must never contact these organizations; attorneys solicit those slots themselves.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-08-31,0.5
LBL Law,P0,Build out and configure LBL YouTube channel,"Channel branding, playlists, descriptions, and analytics for the medical authority engine.",agency,Cody Gunningham,Cody Gunningham,not_started,2026-08-31,2.5
LBL Law,P0,Build Oct 8 Blink open house run-of-show and invite plan,"First open house in four years; piggybacks on Blink opening night, 4:30-7pm.",agency,Katy Martinez,Katy Martinez,not_started,2026-09-30,5.0
LBL Law,P0,Rebuild CallRail account under LBL ownership,"The existing account was never configured correctly and is not owned by LBL; provision fresh with numbers, pools, and routing.",agency,Sebastien Hue,Sebastien Hue,not_started,2026-08-31,3.5
LBL Law,P0,Deploy DNI tracking sitewide and set go-live date,Dynamic number insertion is a hard-stop blocker on scaling any new ad spend.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-08-31,2.5
LBL Law,P1,Verify real registrar status for kymedicalmalpracticeattorneys.com,The inetdomainportal.com notice is a domain-slamming scam; pull the actual WHOIS and expiration and advise on renewal.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-08-31,0.5
LBL Law,P1,Build Best Lawyers Aug 20 launch plan,"Plan how the Best Lawyers recognition gets used across site, social, and referral outreach.",agency,Katy Martinez,Katy Martinez,not_started,2026-08-31,1.5
